,portfolio
2022-06-15,0.035050053266721615
2022-06-16,-0.04457712390418931
2022-06-17,0.014502652279296072
2022-06-21,0.03061087087584304
2022-06-22,-0.003973144786893095
2022-06-23,0.011392533917613329
2022-06-24,0.04264236201521451
2022-06-27,-0.010468505105072771
2022-06-28,-0.04023535096718399
2022-06-29,0.00033421741030969544
2022-06-30,-0.018550719758803968
2022-07-01,5.406026452926719e-06
2022-07-05,0.02697810543881453
2022-07-06,0.007856959935729513
2022-07-07,0.028050032240001382
2022-07-08,0.0014003624289320189
2022-07-11,-0.031099611557100698
2022-07-12,-0.010659806671468985
2022-07-13,0.000629462179519903
2022-07-14,0.0029781057070802164
2022-07-15,0.018822475991078266
2022-07-18,-0.001650301802332146
2022-07-19,0.03583678244396975
2022-07-20,0.02294738548043776
2022-07-21,0.019474015228649715
2022-07-22,-0.027304065273653366
2022-07-25,-0.01005804985039365
2022-07-26,-0.02788236702671896
2022-07-27,0.05856282547400699
2022-07-28,0.007174101339985829
2022-07-29,0.02745818358093899
2022-08-01,0.0006302279731025433
2022-08-02,-0.0024322673011929505
2022-08-03,0.02998743693951563
2022-08-04,0.0075763454200661285
2022-08-05,-0.014267205749049792
2022-08-08,-0.01270860901242402
2022-08-09,-0.012613907081725743
2022-08-10,0.03703521734993227
2022-08-11,-0.00938090341664869
2022-08-12,0.02678227312224447
2022-08-15,0.009019085453622738
2022-08-16,-0.0028940539355729166
2022-08-17,-0.01277579872277941
2022-08-18,0.004269114860183831
2022-08-19,-0.026973733292654116
2022-08-22,-0.030246047908997025
2022-08-23,0.001491971768591015
2022-08-24,0.002031213783944375
2022-08-25,0.02168234567990828
2022-08-26,-0.04967893166068367
2022-08-29,-0.014407666753661999
2022-08-30,-0.01364011925266499
2022-08-31,-0.007297411797665319
2022-09-01,-0.01114795376256462
2022-09-02,-0.017061516803833714
2022-09-06,-0.008059582519516413
2022-09-07,0.019526938396294633
2022-09-08,0.0053955824612000195
2022-09-09,0.026154180040827164
2022-09-12,0.013433685409649829
2022-09-13,-0.06612974426468378
2022-09-14,0.006541406527788223
2022-09-15,-0.01566645214844909
2022-09-16,-0.003201775172873931
2022-09-19,0.011329560646495101
2022-09-20,-0.008279051100637922
2022-09-21,-0.015101875900031484
2022-09-22,-0.015277511217353273
2022-09-23,-0.016823637542420944
2022-09-26,-0.007563871235081474
2022-09-27,0.0024526474103187756
2022-09-28,0.021361175792315244
2022-09-29,-0.03553592116516081
2022-09-30,-0.015300475903928626
2022-10-03,0.017368968460845798
2022-10-04,0.033468439931123715
2022-10-05,-0.0038934088117201088
2022-10-06,-0.006099219979666846
2022-10-07,-0.0497609994697086
2022-10-10,-0.011961104221289461
2022-10-11,-0.014931454375926403
2022-10-12,-0.001487406358007047
2022-10-13,0.025975163059499325
2022-10-14,-0.0407187238853397
2022-10-17,0.04693357540284339
2022-10-18,0.006741384081865187
2022-10-19,-0.0016556783413061759
2022-10-20,-0.0066659338598567
2022-10-21,0.020860607138242043
2022-10-24,0.008391777566687018
2022-10-25,0.03133508016034686
2022-10-26,-0.03860467229061996
2022-10-27,-0.03506976840115263
2022-10-28,0.029743392242896627
2022-10-31,-0.01971878124897969
2022-11-01,-0.01232431016273156
2022-11-02,-0.03728030313916883
2022-11-03,-0.01727861121753807
2022-11-04,0.02065607903921709
2022-11-07,0.01086800683005056
2022-11-08,0.0028656040454682705
2022-11-09,-0.028834894637209965
2022-11-10,0.09747775707634636
2022-11-11,0.024445487128270542
2022-11-14,-0.01044507432931795
2022-11-15,0.015401148986217068
2022-11-16,-0.01897100938694676
2022-11-17,-0.007855837124124498
2022-11-18,-0.0058292885988560006
2022-11-21,-0.01679067417422133
2022-11-22,0.01981949314188883
2022-11-23,0.020403585228449008
2022-11-25,-0.008990176368029745
2022-11-28,-0.01723631934304114
2022-11-29,-0.010023966798658353
2022-11-30,0.062212600345450536
2022-12-01,0.004067687258530457
2022-12-02,-0.002624673317749946
2022-12-05,-0.020365477918177104
2022-12-06,-0.029212035094886662
2022-12-07,-0.0058454986077947696
2022-12-08,0.019111677152119384
2022-12-09,-0.00336267278478805
2022-12-12,0.00909236040926236
2022-12-13,0.015933570550450662
2022-12-14,-0.00996594054643828
2022-12-15,-0.033903745430405204
2022-12-16,-0.013606042554117919
2022-12-19,-0.019740255738986353
2022-12-20,-0.006426738256103973
2022-12-21,0.016205666977719538
2022-12-22,-0.03948354808615349
2022-12-23,0.0006960050978418778
2022-12-27,-0.03552736129295171
2022-12-28,-0.009286275826106475
2022-12-29,0.036135792577566564
2022-12-30,0.00012854156871381495
2023-01-03,-0.015294928591811523
2023-01-04,0.007126082305205955
2023-01-05,-0.021304711849128296
2023-01-06,0.02773267448333374
2023-01-09,0.02047417489864202
2023-01-10,0.010959011085408475
2023-01-11,0.023251660979604884
2023-01-12,0.011679287284845586
2023-01-13,0.010220111871759158
2023-01-17,0.014592451887701693
2023-01-18,-0.012595792879058921
2023-01-19,-0.008873005331898581
2023-01-20,0.03891712872702678
2023-01-23,0.03397526716497745
2023-01-24,-0.0012197263068699407
2023-01-25,-0.0034044739992695793
2023-01-26,0.032407602160865474
2023-01-27,0.027154015541460907
2023-01-30,-0.03292814925078173
2023-01-31,0.01952458319505748
2023-02-01,0.03106307223905991
2023-02-02,0.06345999460547884
2023-02-03,-0.018314607835945913
2023-02-06,-0.0051188130021678265
2023-02-07,0.0291639548448432
2023-02-08,-0.015507783446375434
2023-02-09,-0.00868980874836529
2023-02-10,-0.01808408975909497
2023-02-13,0.017570725052533695
2023-02-14,0.018616790685742516
2023-02-15,0.004233462680698943
2023-02-16,-0.026596751616470193
2023-02-17,-0.008058595844198766
2023-02-21,-0.02721464171579273
2023-02-22,0.003178404257379306
2023-02-23,0.03154620736235503
2023-02-24,-0.018344777054845895
2023-02-27,0.010159719718462334
2023-02-28,-0.000545950041506638
2023-03-01,-0.013292627341274834
2023-03-02,0.006012578765113534
2023-03-03,0.02915986764407718
2023-03-06,-0.0010226337116701041
2023-03-07,-0.011906334344163038
